	Current Fit	Current Fit	Reference Fit	Reference Fit
	ndata	$\phi$	ndata	$\phi$
group				
DEUTERON	627	0.1691440054334244	627	0.1622208458635952
NMC	70	0.10456059924909376	70	0.09774544909678265
NUCLEAR	556	0.11121514416643093	556	0.10453963414837569
HERACOMB	1018	0.13410901647768506	1018	0.12291392509648122
DYE886	89	0.22471981715697462	89	0.23467195481120773
CDF	28	0.2142771526554226	28	0.21102753065021412
D0	38	0.29120818696724105	37	0.29005170798651503
ATLAS	233	0.2516438067882714	235	0.23360397819730133
CMS	172	0.19502010885247717	194	0.1759901226751823
LHCb	128	0.2703323207293276	116	0.2582328330316831
