Dataset	Training fraction	Weight	C-factors	Other fields
NMCPD_dw_ite	0.75	1	-	custom_group: unset
NMC	0.75	1	-	custom_group: unset
SLACP_dwsh	0.75	1	-	custom_group: unset
SLACD_dw_ite	0.75	1	-	custom_group: unset
BCDMSP_dwsh	0.75	1	-	custom_group: unset
BCDMSD_dw_ite	0.75	1	-	custom_group: unset
CHORUSNUPb_dw_ite	0.75	1	-	custom_group: unset
CHORUSNBPb_dw_ite	0.75	1	-	custom_group: unset
NTVNUDMNFe_dw_ite	0.75	1	-	custom_group: unset
NTVNBDMNFe_dw_ite	0.75	1	-	custom_group: unset
HERACOMBNCEM	0.75	1	-	custom_group: unset
HERACOMBNCEP460	0.75	1	-	custom_group: unset
HERACOMBNCEP575	0.75	1	-	custom_group: unset
HERACOMBNCEP820	0.75	1	-	custom_group: unset
HERACOMBNCEP920	0.75	1	-	custom_group: unset
HERACOMBCCEM	0.75	1	-	custom_group: unset
HERACOMBCCEP	0.75	1	-	custom_group: unset
HERACOMB_SIGMARED_C	0.75	1	-	custom_group: unset
HERACOMB_SIGMARED_B	0.75	1	-	custom_group: unset
DYE886R_dw_ite	0.75	1	-	custom_group: unset
DYE886P	0.75	1	-	custom_group: unset
DYE605_dw_ite	0.75	1	-	custom_group: unset
DYE906R_dw_ite	0.75	1	ACC	custom_group: unset
CDFZRAP_NEW	0.75	1	-	custom_group: unset
D0ZRAP_40	0.75	1	-	custom_group: unset
D0WMASY	0.75	1	-	custom_group: unset
ATLASWZRAP36PB	0.75	1	-	custom_group: unset
ATLASZHIGHMASS49FB	0.75	1	-	custom_group: unset
ATLASLOMASSDY11EXT	0.75	1	-	custom_group: unset
ATLASWZRAP11CC	0.75	1	-	custom_group: unset
ATLASWZRAP11CF	0.75	1	-	custom_group: unset
ATLASDY2D8TEV	0.75	1	-	custom_group: unset
ATLAS_DY_2D_8TEV_LOWMASS	0.75	1	-	custom_group: unset
ATLAS_WZ_TOT_13TEV	0.75	1	NRM	custom_group: unset
ATLAS_TTB_DIFF_8TEV_LJ_TRAPNORM	0.75	1	-	custom_group: unset
ATLAS_TTB_DIFF_8TEV_LJ_TTRAPNORM	0.75	1	-	custom_group: unset
ATLAS_SINGLETOP_TCH_R_7TEV	0.75	1	-	custom_group: unset
ATLAS_SINGLETOP_TCH_R_13TEV	0.75	1	-	custom_group: unset
ATLAS_SINGLETOP_TCH_DIFF_7TEV_T_RAP_NORM	0.75	1	-	custom_group: unset
ATLAS_SINGLETOP_TCH_DIFF_7TEV_TBAR_RAP_NORM	0.75	1	-	custom_group: unset
ATLAS_SINGLETOP_TCH_DIFF_8TEV_T_RAP_NORM	0.75	1	-	custom_group: unset
ATLAS_SINGLETOP_TCH_DIFF_8TEV_TBAR_RAP_NORM	0.75	1	-	custom_group: unset
CMSWEASY840PB	0.75	1	-	custom_group: unset
CMSWMASY47FB	0.75	1	-	custom_group: unset
CMSDY2D11	0.75	1	-	custom_group: unset
CMSWMU8TEV	0.75	1	-	custom_group: unset
CMSTTBARTOT5TEV	0.75	1	-	custom_group: unset
CMS_TTBAR_2D_DIFF_MTT_TRAP_NORM	0.75	1	-	custom_group: unset
CMS_TTB_DIFF_13TEV_2016_2L_TRAP	0.75	1	-	custom_group: unset
CMS_TTB_DIFF_13TEV_2016_LJ_TRAP	0.75	1	-	custom_group: unset
CMS_SINGLETOP_TCH_TOT_7TEV	0.75	1	-	custom_group: unset
CMS_SINGLETOP_TCH_R_8TEV	0.75	1	-	custom_group: unset
CMS_SINGLETOP_TCH_R_13TEV	0.75	1	-	custom_group: unset
LHCBZ940PB	0.75	1	-	custom_group: unset
LHCBZEE2FB_40	0.75	1	-	custom_group: unset
LHCBWZMU7TEV	0.75	1	NRM	custom_group: unset
LHCBWZMU8TEV	0.75	1	NRM	custom_group: unset
LHCB_Z_13TEV_DIMUON	0.75	1	-	custom_group: unset
LHCB_Z_13TEV_DIELECTRON	0.75	1	-	custom_group: unset
