		next (Reference Fit)	next (Reference Fit)
		Min	Max
$\Sigma$	$\alpha$	1.091307714107061	1.120913153489949
$\Sigma$	$\beta$	1.4348641638760455	2.8063008416760655
$V$	$\alpha$	0.3654683731720306	0.6444508720156372
$V$	$\beta$	1.410165279691833	3.100041406471763
$T3$	$\alpha$	-0.5534684914775041	1.1013982617539193
$T3$	$\beta$	1.682069562644486	3.147541576490083
$V3$	$\alpha$	-0.0818222150540675	0.4298495436092513
$V3$	$\beta$	1.6841114996026494	3.3225476502181612
$T8$	$\alpha$	0.5504891191550854	0.8547223272781153
$T8$	$\beta$	1.4253530890228423	3.2656085262710812
$V8$	$\alpha$	0.4131820047823661	0.6805505115688062
$V8$	$\beta$	1.4303716456856728	3.363381856602621
$T15$	$\alpha$	1.0718150276470897	1.1355951730521443
$T15$	$\beta$	1.180431072740786	3.0400055556030017
$g$	$\alpha$	0.9121330839949751	1.129427494570836
$g$	$\beta$	2.4757551552619357	5.511157607177448
